x_raw,y_raw,x_filtered,y_filtered,gaze_timestamp,record_timestamp
330.8607,1307.1537,486.7055,1247.7466,11809557672265,11809651103463
269.74628,1362.2064,486.7055,1247.7466,11809651193984,11809689415807
313.59732,1392.6211,330.8607,1307.1537,11809689504609,11809723865182
288.7807,1145.747,313.59732,1247.7466,11809728569661,11809766257890
392.1868,1150.0408,330.8607,1247.7466,11809766474973,11809805961015
897.6184,1075.1925,330.8607,1150.0408,11809806073463,11809846197994
835.0265,1077.596,392.1868,1150.0408,11809846302213,11809894810286
900.7152,929.1564,835.0265,1077.596,11809894916536,11809930777994
892.95386,939.2096,835.0265,1077.596,11809931023411,11809969485963
908.0849,904.2213,892.95386,939.2096,11809969607890,11810002649869
855.60516,850.0565,855.60516,939.2096,11810002779609,11810036943671
301.44473,643.17773,855.60516,904.2213,11810037061796,11810072274869
129.1468,729.2299,855.60516,850.0565,11810072539036,11810117097421
83.802795,430.98386,301.44473,729.2299,11810117269817,11810156213358
41.440018,560.23334,129.1468,729.2299,11810156561900,11810189854556
115.35401,767.88525,115.35401,729.2299,11810197224921,11810232727213
163.1291,991.4992,129.1468,729.2299,11810232838515,11810271317577
184.77798,1064.24,129.1468,767.88525,11810271477369,11810307471067
180.37628,1026.7631,163.1291,991.4992,11810307625077,11810344770181
164.584,1036.9609,164.584,1026.7631,11810345103046,11810387587525
166.39253,775.1219,164.584,991.4992,11810387764713,11810418024192
485.1717,763.3009,164.584,991.4992,11810418136067,11810451481640
502.66898,806.69196,166.39253,806.69196,11810451665442,11810482654087
484.31937,588.0347,484.31937,806.69196,11810482789348,11810518945285
490.20337,105.9826,484.31937,806.69196,11810519073723,11810552342369
234.01212,183.31206,484.31937,588.0347,11810552508931,11810584920962
224.9987,513.009,484.31937,513.009,11810585050337,11810625462473
612.31024,585.028,484.31937,585.028,11810625554192,11810658455077
631.6114,1557.8777,484.31937,585.028,11810658564452,11810693617264
652.9131,291.32123,612.31024,585.028,11810694116848,11810725274556
468.59222,1022.30475,484.31937,585.028,11810726260077,11810757374921
408.69046,1262.7832,484.31937,585.028,11810759114035,11810788733619
318.3443,1154.5837,468.59222,1022.30475,11810789117212,11810821391483
438.2716,1207.3586,438.2716,1154.5837,11810824671327,11810856998723
445.99792,1151.3147,445.99792,1151.3147,11810859760389,11810893489921
668.9059,1368.6155,445.99792,1154.5837,11810894439973,11810954265754
645.94806,1192.0299,445.99792,1154.5837,11810954375337,11810989120962
761.4017,814.50055,645.94806,1154.5837,11810989306587,11811025311483
736.0639,1420.8846,645.94806,1154.5837,11811025423254,11811057710962
735.32367,1328.2216,735.32367,1154.5837,11811057804191,11811094146848
761.71466,1411.4297,735.32367,1328.2216,11811094292837,11811128161535
721.8928,1412.4003,735.32367,1328.2216,11811128727264,11811166035754
790.60443,1457.6138,735.32367,1411.4297,11811166185233,11811203561587
838.85065,1475.9601,735.32367,1412.4003,11811203729556,11811238424816
835.7152,1448.7205,790.60443,1448.7205,11811238547525,11811277172941
837.3707,1477.7888,835.7152,1448.7205,11811277292785,11811315073983
809.64435,1503.693,809.64435,1448.7205,11811315246639,11811346902212
790.88947,1571.1053,809.64435,1477.7888,11811347048098,11811380486743
792.1176,1500.8906,809.64435,1500.8906,11811380586587,11811409885545
511.54785,1379.0621,792.1176,1477.7888,11811410189920,11811441914504
421.91736,1360.3392,792.1176,1477.7888,11811442351223,11811473571379
386.30487,1351.8861,511.54785,1379.0621,11811473668618,11811507037420
368.2837,1321.134,421.91736,1360.3392,11811507142681,11811539347212
411.57703,1268.2054,411.57703,1351.8861,11811539439973,11811572169452
384.55798,1271.2992,411.57703,1321.134,11811572259712,11811607780077
355.79837,1269.7793,411.57703,1271.2992,11811607890650,11811640491483
359.1115,1287.839,384.55798,1287.839,11811640573150,11811674067993
479.63333,1330.1233,411.57703,1287.839,11811674174712,11811711142264
506.1825,1314.2997,411.57703,1287.839,11811711358462,11811746035806
509.01044,1288.8488,479.63333,1288.8488,11811746163879,11811780529868
543.2058,1298.5548,506.1825,1288.8488,11811780682681,11811812520441
531.3598,1296.498,509.01044,1288.8488,11811812674191,11811844981431
558.38434,1296.8319,531.3598,1296.498,11811845158254,11811877037577
574.8853,1320.7609,531.3598,1296.498,11811877171899,11811905439243
562.58014,1315.4032,558.38434,1296.8319,11811905544452,11811940990962
505.6357,1356.8743,531.3598,1315.4032,11811941298358,11811974432785
583.1558,1340.3853,558.38434,1315.4032,11811974562056,11812014456326
632.2486,1298.3564,558.38434,1315.4032,11812014615858,11812047917472
663.05756,1320.2003,583.1558,1315.4032,11812048164868,11812082213045
694.52264,740.14923,632.2486,1315.4032,11812082367837,11812111382264
674.00964,1146.6086,663.05756,1315.4032,11812111547941,11812144971170
813.4789,417.29733,674.00964,1146.6086,11812145134035,11812180313983
962.2279,1018.4739,674.00964,1146.6086,11812180481118,11812210914503
982.9352,1226.3721,813.4789,1146.6086,11812211080858,11812239933826
928.9433,1394.995,928.9433,1146.6086,11812240297681,11812276478983
967.8169,1353.2063,928.9433,1226.3721,11812276613462,11812307969920
919.7351,1463.9437,928.9433,1353.2063,11812308427160,11812338988358
968.6388,1423.7051,928.9433,1353.2063,11812339085806,11812371067941
984.64624,1576.1826,928.9433,1423.7051,11812371191066,11812403613410
965.1986,1635.8284,965.1986,1423.7051,11812403773201,11812433865337
982.276,1425.5847,965.1986,1425.5847,11812434000805,11812466902941
1013.2831,1403.044,965.1986,1423.7051,11812468183358,11812501065285
1014.88806,1398.4626,982.276,1423.7051,11812501184191,11812533536430
1025.6073,1429.2832,1013.2831,1423.7051,11812533646795,11812566725545
1015.12714,1461.2334,1014.88806,1423.7051,11812566912003,11812598309347
299.78537,1476.9957,1013.2831,1429.2832,11812598459972,11812627722889
249.98645,1488.1161,1013.2831,1461.2334,11812627888826,11812661680389
222.01476,1421.5781,299.78537,1429.2832,11812661781482,11812696380753
223.08636,1438.8052,249.98645,1438.8052,11812696554087,11812728695337
236.41628,1452.145,236.41628,1438.8052,11812728873357,11812760402680
260.4136,1409.8285,249.98645,1438.8052,11812760561326,11812793807055
212.338,1423.3508,236.41628,1438.8052,11812793942264,11812826712889
225.16174,1481.4392,236.41628,1438.8052,11812826838826,11812871551014
241.31761,1464.4257,236.41628,1438.8052,11812871965649,11812906736795
211.37285,1519.0718,236.41628,1464.4257,11812906914920,11812939100701
348.57852,1600.0327,236.41628,1464.4257,11812939262055,11812972394034
615.9823,1623.2073,236.41628,1519.0718,11812972543878,11813010331014
689.8864,1556.9136,348.57852,1556.9136,11813010534816,11813044118566
730.8567,1596.0951,615.9823,1556.9136,11813044287472,11813075154712
737.0831,1579.267,689.8864,1556.9136,11813075310076,11813105057003
767.3991,1581.7378,730.8567,1579.267,11813105210961,11813138268566
804.14636,1608.2194,737.0831,1579.267,11813138390441,11813170978982
785.4085,1557.1201,767.3991,1579.267,11813171073670,11813203590805
763.3701,1585.6509,763.3701,1579.267,11813203681795,11813234576170
644.4798,1538.9597,763.3701,1579.267,11813234703566,11813265663982
227.36874,1590.6147,763.3701,1579.267,11813265821430,11813299974191
226.24432,1564.9015,644.4798,1579.267,11813300170857,11813331148461
202.44127,1607.8793,227.36874,1579.267,11813331254972,11813363952993
213.29935,1560.4125,226.24432,1579.267,11813364214034,11813396870961
196.93105,1565.9302,213.29935,1579.267,11813396980909,11813428780441
233.62029,1620.8875,226.24432,1579.267,11813428923774,11813459763826
363.08322,1640.303,226.24432,1579.267,11813459875857,11813490316170
467.07446,1577.2559,233.62029,1579.267,11813491192107,11813527044972
481.46362,1648.8325,363.08322,1579.267,11813527147836,11813560390284
502.6781,1649.3981,467.07446,1579.267,11813561421378,11813593943149
459.48654,1635.0983,459.48654,1635.0983,11813594108982,11813624420597
